ID_REF	VALUE
1552671_a_at	4.6378
1552672_a_at	3.455
1552673_at	1.9995
1552674_at	3.0143
1552675_at	3.1435
1552676_at	2.7723
1552677_a_at	3.4057
1552678_a_at	3.2053
1552680_a_at	2.7399
1552682_a_at	2.8674
1552684_a_at	3.1287
1552685_a_at	7.4808
1552686_at	2.4921
1552687_a_at	3.4557
1552689_at	9.1691
1552690_a_at	2.9178
1552691_at	2.6335
1552693_at	2.3045
1552694_at	4.2103
1552695_a_at	4.3434
1552696_at	2.9661
1552698_at	2.6021
1552701_a_at	7.8908
1552703_s_at	8.6597
1552705_at	4.8204
1552708_a_at	3.4961
1552711_a_at	7.5261
1552712_a_at	8.3502
1552713_a_at	2.1802
1552714_at	2.5498
1552715_a_at	2.2175
1552716_at	4.5297
1552717_s_at	2.799
1552718_at	3.454
1552719_at	3.9787
1552721_a_at	2.9813
1552722_at	2.9331
1552724_at	3.9472
1552725_s_at	2.7787
1552726_at	5.7657
1552727_s_at	6.2573
1552729_at	3.7046
1552730_at	2.4366
1552731_at	3.905
1552732_at	2.5168
1552733_at	8.853
1552734_at	3.7111
1552735_at	5.7531
1552736_a_at	2.175
1552737_s_at	3.0652
1552738_a_at	4.6591
1552739_s_at	7.0697
1552740_at	4.1772
1552742_at	5.874
1552743_at	2.939
1552745_at	2.0239
1552747_a_at	3.2134
1552749_a_at	3.4261
1552750_at	2.1649
1552751_a_at	3.0536
1552752_a_at	2.9169
1552754_a_at	5.9428
1552755_at	3.1039
1552757_s_at	1.8449
1552758_at	2.6662
1552760_at	2.8161
1552761_at	3.2257
1552763_at	3.0979
1552765_x_at	2.8073
1552766_at	2.4439
1552767_a_at	5.578
1552768_at	2.805
1552769_at	3.5208
1552770_s_at	4.0587
1552771_a_at	2.738
1552772_at	2.5089
1552773_at	3.093
1552774_a_at	6.364
1552775_at	2.4652
1552777_a_at	3.6186
1552779_a_at	2.8344
1552782_at	4.1952
1552783_at	2.912
1552785_at	5.1072
1552787_at	3.3191
1552788_a_at	2.9479
1552789_at	9.3811
1552790_a_at	9.4292
1552791_a_at	2.8064
1552792_at	3.1542
1552793_at	2.3332
1552794_a_at	5.4054
1552796_a_at	2.213
1552797_s_at	13.0801
1552798_a_at	2.9119
1552799_at	3.5588
1552800_at	2.8448
1552801_at	1.7574
1552803_a_at	3.5661
1552804_a_at	3.6111
1552806_a_at	2.8324
1552807_a_at	4.0011
1552808_at	2.7139
1552809_at	2.6296
1552811_at	3.8135
1552812_a_at	2.6586
1552813_at	2.9209
1552814_a_at	2.4503
1552816_at	2.609
1552818_a_at	2.4283
1552819_at	2.6929
1552822_at	3.0361
1552825_at	3.3402
1552826_at	3.0536
1552827_s_at	2.3695
1552828_at	2.3401
1552829_at	8.8863
1552830_at	2.8509
1552833_at	3.0484
1552834_at	3.6976
1552835_at	2.4549
1552836_at	3.5517
1552837_at	2.5487
1552839_at	2.6136
1552841_s_at	1.7617
1552842_at	2.7614
1552843_at	2.798
1552845_at	3.3935
1552846_s_at	3.5841
1552848_a_at	2.9993
1552849_at	2.4182
1552851_at	2.5638
1552852_a_at	3.2336
1552853_at	2.438
1552854_a_at	3.0636
1552856_at	3.1264
1552857_a_at	2.4952
1552858_at	2.2608
1552860_at	2.457
1552862_at	10.7185
1552863_a_at	2.4186
1552865_a_at	2.7298
1552867_at	3.2977
1552868_at	3.1088
1552870_s_at	5.9002
1552872_at	3.5777
1552873_s_at	2.7409
1552875_a_at	2.6992
1552876_at	2.3438
1552877_s_at	2.4465
1552878_at	1.8801
1552879_a_at	3.4155
1552880_at	3.3628
1552882_a_at	6.5246
1552884_at	2.6463
1552885_a_at	3.4363
1552887_at	3.5179
1552889_a_at	3.845
1552890_a_at	3.2614
1552892_at	3.2056
1552893_at	2.6815
1552895_a_at	2.6147
1552897_a_at	2.4482
1552898_a_at	2.498
1552899_at	2.304
1552900_a_at	2.1517
1552902_a_at	2.3974
1552903_at	3.033
1552904_at	1.9973
1552906_at	2.8036
1552908_at	4.195
1552910_at	1.9478
1552911_at	2.9559
1552912_a_at	2.0654
1552913_at	2.061
1552914_a_at	3.5459
1552915_at	2.4893
1552917_at	2.7991
1552919_at	2.7746
1552921_a_at	3.7737
1552922_at	2.413
1552923_a_at	2.6458
1552924_a_at	3.9005
1552925_at	2.1457
1552927_at	3.1219
1552928_s_at	2.7228
1552929_at	2.3195
1552930_at	4.4126
1552931_a_at	4.4218
1552932_at	2.3986
1552933_at	2.7674
1552935_at	3.8765
1552937_s_at	4.0757
1552938_at	2.6189
1552939_at	2.4771
1552940_at	2.9633
1552942_at	2.5294
1552943_at	1.971
1552944_a_at	2.9425
1552946_at	4.121
1552947_x_at	3.8894
1552948_at	2.7215
1552950_at	2.216
1552952_at	2.9646
1552953_a_at	3.0751
1552954_at	2.8154
1552955_at	2.3857
1552957_at	2.7447
1552960_at	2.8924
1552961_at	2.3501
1552964_at	2.3325
1552965_a_at	2.5253
1552967_at	2.2692
1552969_a_at	2.7925
1552970_s_at	2.9183
1552971_at	2.4185
1552972_at	2.1715
1552973_at	2.4
1552974_at	3.0486
1552975_x_at	3.5433
1552976_at	2.5857
1552977_a_at	4.9475
1552978_a_at	3.6291
1552979_at	3.3765
1552980_at	11.2441
1552982_a_at	2.3516
1552985_at	2.8906
1552986_at	3.4231
1552987_a_at	1.897
1552988_at	2.3827
1552990_at	2.6907
1552991_at	2.4783
1552993_at	2.0652
1552995_at	2.7755
1552997_a_at	2.5898
1552998_at	1.9787
1552999_a_at	3.6458
1553002_at	2.9311
1553003_at	2.8611
1553004_at	2.3587
1553006_at	2.0825
1553007_a_at	3.6264
1553009_s_at	2.4645
1553011_at	2.546
1553013_at	1.7563
1553015_a_at	3.5285
1553016_at	2.2316
1553019_at	2.4615
1553020_at	2.8248
1553021_s_at	2.8047
1553022_at	2.5114
1553023_a_at	3.4388
1553024_at	1.9201
1553025_at	3.3185
1553027_a_at	2.457
1553028_at	3.3017
1553030_a_at	5.6162
1553031_at	4.5432
1553032_at	2.4234
1553033_at	2.4196
1553034_at	5.3188
1553036_at	2.7586
1553037_a_at	4.9587
1553039_a_at	3.2223
1553041_at	2.4819
1553042_a_at	3.3436
1553043_a_at	2.8406
1553044_at	2.1378
1553045_at	2.9987
1553046_s_at	3.2103
1553047_at	3.227
1553048_a_at	3.9989
1553051_s_at	3.1985
1553052_at	3.1678
1553053_at	2.4021
1553055_a_at	3.5082
1553057_at	3.1815
1553058_at	3.2719
1553059_at	3.0315
1553060_at	2.5428
1553061_at	2.4316
1553062_at	6.4389
1553063_at	3.0622
1553064_at	3.8082
1553066_at	2.3437
1553067_a_at	6.6435
1553069_at	2.7735
1553070_a_at	2.2954
1553071_a_at	3.135
1553072_at	4.8235
1553074_at	2.1774
1553075_a_at	1.9885
1553076_at	2.3814
1553077_at	4.8194
1553078_at	2.4806
1553079_at	2.4107
1553080_at	2.2257
1553081_at	6.4744
1553082_at	2.9225
1553083_at	1.8825
1553084_at	2.3073
1553086_at	2.0685
1553087_at	2.1856
1553088_a_at	2.4768
1553089_a_at	3.9564
1553093_a_at	2.5485
1553094_at	3.4524
1553096_s_at	3.9501
1553099_at	6.2426
1553101_a_at	7.5872
1553102_a_at	7.1493
1553103_at	9.8595
1553105_s_at	3.6741
1553106_at	4.6916
1553107_s_at	4.2933
1553108_at	4.1363
1553111_a_at	9.0468
1553112_s_at	3.9558
1553113_s_at	10.5376
1553114_a_at	8.6051
1553115_at	3.4563
1553117_a_at	5.8597
1553118_at	4.4865
1553120_at	2.5992
1553122_s_at	4.2221
1553123_at	2.5125
1553125_x_at	2.5663
1553126_a_at	2.902
1553127_a_at	3.7854
1553129_at	3.4521
1553130_at	3.1619
1553131_a_at	2.712
1553132_a_at	6.8991
1553133_at	2.6802
1553134_s_at	2.6268
1553136_at	3.7506
1553137_s_at	3.1691
1553138_a_at	2.6947
1553139_s_at	3.2483
1553140_at	3.8472
1553141_at	3.4512
1553142_at	6.4837
1553145_at	5.5424
1553146_at	2.4395
1553147_at	2.8779
1553148_a_at	3.0918
1553150_at	4.6819
1553151_at	2.7018
1553153_at	2.109
1553155_x_at	2.2209
1553156_at	3.7323
1553157_at	2.9672
1553158_at	2.7776
1553159_at	2.9195
1553162_x_at	3.4952
1553163_at	3.3228
1553165_at	4.3413
1553166_at	2.1252
1553167_a_at	4.1895
1553168_at	2.2624
1553169_at	2.1826
1553171_x_at	1.7204
1553172_at	3.7491
1553174_at	3.0814
1553175_s_at	4.6016
1553176_at	2.3452
1553177_at	2.6516
1553178_a_at	2.1135
1553179_at	2.4592
1553180_at	2.5455
1553181_at	2.6181
1553183_at	2.092
1553185_at	11.6781
1553186_x_at	10.2908
1553188_s_at	2.48
1553190_s_at	3.4558
1553191_at	2.2314
1553192_at	3.1522
1553193_at	4.6174
1553194_at	3.5926
1553196_a_at	2.2745
1553197_at	2.9577
1553199_at	2.2647
1553202_at	3.5227
1553204_at	2.6493
1553205_at	2.9019
1553207_at	3.4625
1553208_s_at	3.9274
1553209_at	2.6051
1553211_at	3.849
1553212_at	6.5208
1553213_a_at	3.7757
1553214_a_at	7.8836
1553215_s_at	4.3816
1553216_at	2.8715
1553217_s_at	3.1184
1553218_a_at	7.2337
1553219_a_at	2.5066
1553220_at	2.9655
1553221_at	2.9361
1553222_at	3.0388
1553224_at	2.6494
1553225_s_at	4.101
1553226_at	2.4734
1553227_s_at	6.5896
1553228_at	3.2808
1553229_at	3.6471
1553232_at	2.9891
1553234_at	3.5597
1553235_at	2.4412
1553237_x_at	2.2261
1553238_a_at	3.1446
1553239_at	3.7711
1553241_at	2.6435
1553243_at	5.9754
1553244_at	3.2064
1553246_a_at	2.0573
1553247_a_at	6.9634
1553248_at	3.3886
1553249_at	3.5003
1553252_a_at	7.003
1553253_at	2.9271
1553254_at	2.5983
1553255_at	1.8005
1553257_at	2.5705
1553258_at	2.8968
1553260_s_at	2.7438
1553261_x_at	2.0097
