ID_REF	VALUE
1552671_a_at	5.1016
1552672_a_at	3.5546
1552673_at	1.8804
1552674_at	2.8706
1552675_at	2.7659
1552676_at	2.9697
1552677_a_at	3.5181
1552678_a_at	3.0633
1552680_a_at	2.8725
1552682_a_at	2.5482
1552684_a_at	2.8102
1552685_a_at	8.3129
1552686_at	2.4647
1552687_a_at	3.2561
1552689_at	9.5955
1552690_a_at	3.1221
1552691_at	2.303
1552693_at	2.5559
1552694_at	3.31
1552695_a_at	3.5664
1552696_at	3.4746
1552698_at	2.3507
1552701_a_at	7.2788
1552703_s_at	8.7961
1552705_at	4.3938
1552708_a_at	3.7189
1552711_a_at	7.5891
1552712_a_at	7.0926
1552713_a_at	2.3806
1552714_at	2.3304
1552715_a_at	2.0693
1552716_at	3.992
1552717_s_at	2.8688
1552718_at	4.2068
1552719_at	4.7358
1552721_a_at	3.591
1552722_at	2.7163
1552724_at	3.6912
1552725_s_at	2.6656
1552726_at	6.1722
1552727_s_at	6.1036
1552729_at	3.6536
1552730_at	2.9201
1552731_at	3.8295
1552732_at	2.4348
1552733_at	7.8705
1552734_at	3.5261
1552735_at	5.1808
1552736_a_at	2.7438
1552737_s_at	3.2106
1552738_a_at	5.8199
1552739_s_at	6.8151
1552740_at	4.559
1552742_at	5.9301
1552743_at	2.8618
1552745_at	2.301
1552747_a_at	3.4377
1552749_a_at	3.843
1552750_at	2.0869
1552751_a_at	2.8702
1552752_a_at	2.7036
1552754_a_at	6.5323
1552755_at	3.5712
1552757_s_at	2.1291
1552758_at	2.9032
1552760_at	2.4258
1552761_at	3.3212
1552763_at	3.7388
1552765_x_at	2.9195
1552766_at	2.2366
1552767_a_at	5.135
1552768_at	2.8882
1552769_at	3.3924
1552770_s_at	4.3006
1552771_a_at	3.0368
1552772_at	2.5062
1552773_at	3.0489
1552774_a_at	5.7445
1552775_at	2.5464
1552777_a_at	4.1182
1552779_a_at	2.6688
1552782_at	3.2956
1552783_at	3.1924
1552785_at	4.5524
1552787_at	3.1469
1552788_a_at	2.7925
1552789_at	8.058
1552790_a_at	8.5381
1552791_a_at	2.5559
1552792_at	3.5508
1552793_at	2.2872
1552794_a_at	4.271
1552796_a_at	2.1155
1552797_s_at	13.0244
1552798_a_at	3.0586
1552799_at	3.4355
1552800_at	2.8578
1552801_at	1.8948
1552803_a_at	3.6391
1552804_a_at	3.2464
1552806_a_at	2.7524
1552807_a_at	3.9224
1552808_at	3.194
1552809_at	2.4955
1552811_at	3.8625
1552812_a_at	2.6448
1552813_at	2.9899
1552814_a_at	2.3345
1552816_at	2.96
1552818_a_at	2.5205
1552819_at	2.5956
1552822_at	2.6369
1552825_at	2.6589
1552826_at	2.8015
1552827_s_at	2.121
1552828_at	2.2278
1552829_at	9.409
1552830_at	2.8689
1552833_at	2.9899
1552834_at	3.7562
1552835_at	2.6695
1552836_at	3.6132
1552837_at	2.6629
1552839_at	2.8039
1552841_s_at	1.8283
1552842_at	2.8537
1552843_at	3.1107
1552845_at	3.4622
1552846_s_at	3.5468
1552848_a_at	3.0082
1552849_at	2.533
1552851_at	2.3338
1552852_a_at	2.9877
1552853_at	2.4134
1552854_a_at	2.9343
1552856_at	2.8305
1552857_a_at	2.5363
1552858_at	2.0602
1552860_at	2.5428
1552862_at	10.6658
1552863_a_at	2.4765
1552865_a_at	2.7194
1552867_at	3.4605
1552868_at	3.0128
1552870_s_at	4.3107
1552872_at	3.3815
1552873_s_at	3.8428
1552875_a_at	2.4383
