ID_REF	VALUE
1007_s_at	10.5215
1053_at	6.8552
117_at	3.7309
121_at	3.6326
1255_g_at	2.367
1294_at	5.1897
1316_at	5.0783
1320_at	4.773
1405_i_at	3.7329
1431_at	4.9768
1438_at	4.2857
1487_at	8.8751
1494_f_at	2.9518
1552256_a_at	5.6773
1552257_a_at	9.8297
1552258_at	3.4423
1552261_at	3.351
1552263_at	5.6999
1552264_a_at	5.0186
1552266_at	2.7477
1552269_at	2.6437
1552271_at	2.8576
1552272_a_at	3.5337
1552274_at	4.3476
1552275_s_at	5.8344
1552276_a_at	3.0173
1552277_a_at	6.7985
1552278_a_at	3.2438
1552279_a_at	3.2773
1552280_at	3.0599
1552281_at	3.1076
1552283_s_at	5.5831
1552286_at	7.3509
1552287_s_at	9.2284
1552288_at	2.9493
1552289_a_at	2.5123
1552291_at	9.4403
1552293_at	3.6469
1552295_a_at	3.6757
1552296_at	4.3743
1552299_at	5.3
1552301_a_at	4.0175
1552302_at	4.9193
1552303_a_at	3.1095
1552304_at	3.3283
1552306_at	4.9181
1552307_a_at	5.8883
1552309_a_at	7.6961
1552310_at	7.0376
1552311_a_at	3.3583
1552312_a_at	3.5392
1552314_a_at	3.3291
1552315_at	2.7158
1552316_a_at	3.7769
1552318_at	3.7826
1552319_a_at	3.6746
1552320_a_at	3.8837
1552321_a_at	3.0958
1552322_at	3.468
1552323_s_at	5.1839
1552325_at	3.6673
1552326_a_at	3.6847
1552327_at	5.235
1552329_at	8.6786
1552330_at	5.3044
1552332_at	4.3313
1552334_at	8.7655
1552335_at	2.926
1552337_s_at	2.3272
1552338_at	2.6
1552340_at	3.1087
1552343_s_at	6.3624
1552344_s_at	3.859
1552347_at	6.6972
1552348_at	3.8709
1552349_a_at	3.1296
1552354_at	2.2013
1552355_s_at	3.3413
1552359_at	2.9423
1552360_a_at	8.8364
1552362_a_at	5.2161
1552364_s_at	2.8657
1552365_at	5.9804
1552367_a_at	3.6776
1552368_at	2.2724
1552370_at	6.9476
1552372_at	2.052
1552373_s_at	2.9
1552375_at	5.4626
1552377_s_at	5.5757
1552378_s_at	3.5913
1552379_at	2.8694
1552381_at	3.359
1552383_at	4.0088
1552384_a_at	2.7175
1552386_at	2.8103
1552388_at	2.9465
1552389_at	4.157
1552390_a_at	4.1106
1552391_at	3.6758
1552393_at	2.8437
1552394_a_at	2.9461
1552395_at	1.8892
1552396_at	3.3271
1552398_a_at	4.2782
1552399_a_at	2.7938
1552400_a_at	4.6346
1552401_a_at	4.5028
1552402_at	3.5667
1552405_at	2.3387
1552408_at	2.153
1552409_a_at	3.5738
1552410_at	4.7635
1552411_at	1.8274
1552412_a_at	2.4767
1552414_at	3.1166
1552415_a_at	2.544
1552417_a_at	3.2745
1552418_at	3.0084
1552419_s_at	2.2595
