,ID_REF,C vs P12 pvalue,C vs P12 log2fc,Ensembl_ID,Gene_Name
2776,1555416_a_at,0.047851888962320725,1.66195,ENSG00000179593,ALOX15B
3167,1555854_at,0.001093044342730317,1.5660874999999992,ENSG00000151632,AKR1C2
3168,1555854_at,0.001093044342730317,1.5660874999999992,ENSG00000187134,AKR1C1
3986,1556935_at,0.03039085273819339,1.051279166666668,ENSG00000271208,
5001,1558438_a_at,0.02964403518396249,2.9747416666666666,ENSG00000281947,IGHEP1
5002,1558438_a_at,0.02964403518396249,2.9747416666666666,ENSG00000276192,IGHE
5003,1558438_a_at,0.02964403518396249,2.9747416666666666,ENSG00000253692,IGHEP1
5004,1558438_a_at,0.02964403518396249,2.9747416666666666,ENSG00000211891,IGHE
5592,1559282_at,0.02458347772441071,1.0313458333333339,,
6204,1560259_at,0.03962048834403437,1.1564124999999992,,
6464,1560697_at,0.045126271446101915,1.6746541666666666,ENSG00000236333,TRHDE-AS1
6698,1560981_a_at,0.010998781315046403,1.0917458333333339,ENSG00000186951,PPARA
10452,1569112_at,0.036082795763676866,1.405454166666667,ENSG00000137968,SLC44A5
13552,202003_s_at,0.036147219548420484,1.0428250000000006,ENSG00000167315,ACAA2
13553,202003_s_at,0.036147219548420484,1.0428250000000006,ENSG00000207367,RNU6-29P
13554,202003_s_at,0.036147219548420484,1.0428250000000006,ENSG00000233585,ACAA2P1
13555,202003_s_at,0.036147219548420484,1.0428250000000006,ENSG00000293263,
13775,202201_at,0.007541875065937911,1.1434333333333333,ENSG00000090013,BLVRB
15158,203296_s_at,0.029854690613435004,1.127204166666668,ENSG00000018625,ATP1A2
15295,203400_s_at,0.01614507878088692,2.5402999999999993,ENSG00000091513,TF
15621,203673_at,0.008029704668631274,1.7043666666666675,ENSG00000042832,TG
16874,204714_s_at,0.02116735149427183,1.6645958333333328,ENSG00000198734,F5
16893,204731_at,0.006270024517356858,1.0410958333333333,ENSG00000069702,TGFBR3
16960,204777_s_at,0.03574466366162211,1.047745833333333,ENSG00000172005,MAL
17034,204836_at,0.04603486879437557,1.6854375000000008,ENSG00000178445,GLDC
17273,205029_s_at,0.03610156644916991,2.405904166666665,ENSG00000164434,FABP7
17274,205030_at,0.01715876301096824,2.620429166666666,ENSG00000164434,FABP7
17442,205161_s_at,0.04918114532113345,1.2302083333333327,ENSG00000166821,PEX11A
18261,205843_x_at,0.012932059970754303,2.0818208333333317,ENSG00000095321,CRAT
18661,206143_at,0.03686024847860253,1.4817749999999998,ENSG00000091138,SLC26A3
19247,206623_at,0.0487579394205115,1.848466666666666,ENSG00000132915,PDE6A
19347,206695_x_at,0.03203004549455747,1.1077458333333334,ENSG00000279566,ZNF43
19348,206695_x_at,0.03203004549455747,1.1077458333333334,ENSG00000198521,ZNF43
20414,207466_at,0.005274878767883131,2.0586249999999993,,
20905,207847_s_at,0.03937957411015367,2.245245833333332,ENSG00000185499,MUC1
21807,208510_s_at,0.03799529728529914,1.4476083333333332,ENSG00000132170,PPARG
22560,209016_s_at,0.0367008166268492,1.0248166666666663,ENSG00000135480,KRT7
23098,209398_at,0.03244617327543065,1.3479249999999992,ENSG00000187837,H1-2
23240,209498_at,0.0033715694678974656,1.447912500000001,ENSG00000079385,CEACAM1
23267,209522_s_at,0.010125278097985989,1.2152124999999998,ENSG00000095321,CRAT
23446,209686_at,0.02590505015572448,1.1363875000000005,ENSG00000160307,S100B
24181,210247_at,0.02159956452436124,1.4284708333333334,ENSG00000157152,SYN2
24612,210576_at,0.044005590004537555,1.4132750000000005,ENSG00000186526,CYP4F8
25404,211126_s_at,0.02682381322878541,1.257129166666667,ENSG00000175183,CSRP2
26109,211653_x_at,0.000566985968388918,1.0791208333333326,ENSG00000151632,AKR1C2
26110,211653_x_at,0.000566985968388918,1.0791208333333326,ENSG00000187134,AKR1C1
26222,211695_x_at,0.03556113363506422,1.6223416666666663,ENSG00000185499,MUC1
27045,212279_at,0.017244541525835766,1.0425000000000004,ENSG00000109084,TMEM97
27564,212694_s_at,0.03355194969797037,1.2546916666666679,ENSG00000114054,PCCB
28182,213171_s_at,0.0358246478525304,1.010133333333334,ENSG00000125966,MMP24
28841,213693_s_at,0.041455307337827846,1.4885541666666668,ENSG00000185499,MUC1
29155,213920_at,0.025743012775520185,2.305483333333332,ENSG00000111249,CUX2
29334,214053_at,0.018462267023027255,1.5822166666666666,ENSG00000178568,ERBB4
29345,214063_s_at,0.03179903300017793,2.0124416666666676,ENSG00000091513,TF
29573,214240_at,0.007411673441693285,1.7931333333333335,ENSG00000069482,GAL
33586,217127_at,0.041064474181582857,1.111554166666667,ENSG00000116761,CTH
35150,218322_s_at,0.004875399488476583,1.0037875000000014,ENSG00000197142,ACSL5
