ID_REF	VALUE
1007_s_at	10.5843
1053_at	6.6646
117_at	5.0663
121_at	3.2672
1255_g_at	2.4053
1294_at	5.1121
1316_at	5.742
1320_at	4.7204
1405_i_at	4.541
1431_at	4.9499
1438_at	3.9827
1487_at	8.3657
1494_f_at	2.8533
1552256_a_at	5.6124
1552257_a_at	9.6515
1552258_at	3.4989
1552261_at	3.1451
1552263_at	5.4845
1552264_a_at	5.438
1552266_at	2.6731
1552269_at	2.7596
1552271_at	2.726
1552272_a_at	3.6019
1552274_at	4.4365
1552275_s_at	5.716
1552276_a_at	2.8834
1552277_a_at	6.3374
1552278_a_at	3.1569
1552279_a_at	3.4441
1552280_at	2.5719
1552281_at	3.1946
1552283_s_at	6.7766
1552286_at	6.9569
1552287_s_at	8.9601
1552288_at	2.9626
1552289_a_at	2.4072
1552291_at	8.6776
1552293_at	3.7865
1552295_a_at	3.3082
1552296_at	3.7153
1552299_at	4.5315
1552301_a_at	3.426
1552302_at	4.5366
1552303_a_at	3.0814
1552304_at	2.9614
1552306_at	5.0616
1552307_a_at	5.9962
1552309_a_at	8.0089
1552310_at	6.4607
1552311_a_at	3.4789
1552312_a_at	3.2363
1552314_a_at	3.3879
1552315_at	2.441
1552316_a_at	3.9402
1552318_at	3.8921
1552319_a_at	4.6553
1552320_a_at	3.697
1552321_a_at	3.0426
1552322_at	3.6263
1552323_s_at	5.0671
1552325_at	3.2387
1552326_a_at	3.1402
1552327_at	5.1199
1552329_at	7.9386
1552330_at	5.1498
1552332_at	4.3605
1552334_at	9.107
1552335_at	2.9873
1552337_s_at	2.6142
1552338_at	2.3443
1552340_at	3.3291
1552343_s_at	5.9977
1552344_s_at	3.8798
1552347_at	7.9479
1552348_at	2.9014
1552349_a_at	2.8004
1552354_at	2.2904
1552355_s_at	3.4595
1552359_at	2.9555
1552360_a_at	8.8028
1552362_a_at	5.1152
1552364_s_at	2.6785
1552365_at	6.6863
1552367_a_at	4.041
1552368_at	2.1361
1552370_at	6.2514
1552372_at	1.9806
1552373_s_at	2.7161
1552375_at	4.8293
1552377_s_at	5.2774
1552378_s_at	3.512
1552379_at	3.2384
1552381_at	3.157
1552383_at	3.8137
1552384_a_at	2.7284
1552386_at	2.3431
1552388_at	2.8344
1552389_at	3.4981
1552390_a_at	2.8885
1552391_at	3.5319
1552393_at	3.1066
1552394_a_at	2.9412
1552395_at	1.8449
1552396_at	3.0447
1552398_a_at	4.8275
1552399_a_at	3.0444
1552400_a_at	4.3923
1552401_a_at	3.6691
1552402_at	3.4635
1552405_at	2.2074
1552408_at	1.9362
1552409_a_at	3.5994
1552410_at	3.9812
1552411_at	1.8136
1552412_a_at	2.4768
1552414_at	3.0187
1552415_a_at	2.4346
1552417_a_at	3.0997
1552418_at	3.2353
1552419_s_at	2.2562
1552421_a_at	2.2475
1552422_at	3.353
1552423_at	5.5459
1552424_at	2.6072
1552425_a_at	4.556
1552426_a_at	11.9991
1552427_at	4.0815
1552430_at	2.5798
1552432_at	2.6889
1552436_a_at	2.5612
1552438_a_at	2.3038
1552439_s_at	3.067
1552440_at	2.903
1552445_a_at	1.5682
1552448_a_at	2.1629
1552449_a_at	2.1506
1552450_a_at	2.5234
1552452_at	2.3036
1552453_a_at	3.6494
1552455_at	3.2141
1552456_a_at	2.9455
1552457_a_at	3.2738
1552458_at	2.4107
1552459_a_at	2.4262
1552461_at	2.0262
1552463_at	2.7491
1552466_x_at	3.3586
1552467_at	2.7498
1552468_a_at	2.9222
1552470_a_at	2.589
1552472_a_at	6.5056
1552473_at	3.3234
1552474_a_at	4.7074
1552476_s_at	2.4635
1552477_a_at	7.1499
1552478_a_at	4.7586
1552480_s_at	3.5624
1552481_s_at	7.8763
1552482_at	4.2848
1552484_at	2.3267
1552485_at	3.6692
1552486_s_at	4.811
1552487_a_at	7.5135
1552489_s_at	3.1178
1552490_at	2.4476
1552491_at	4.9992
1552493_s_at	2.7194
1552494_at	2.8224
1552496_a_at	5.0335
1552497_a_at	2.8766
1552498_at	2.3677
1552499_a_at	2.8625
1552501_a_at	3.0515
1552502_s_at	4.9388
1552503_at	2.4552
1552504_a_at	2.65
1552506_at	2.1929
1552507_at	2.6938
1552508_at	2.8958
1552509_a_at	9.3579
1552510_at	2.7831
1552511_a_at	2.8756
1552514_at	2.7519
1552515_at	2.955
1552516_a_at	2.6637
1552518_s_at	5.3849
1552519_at	6.8743
1552520_at	3.4658
1552521_a_at	2.6274
1552522_at	2.0757
1552523_a_at	2.9203
1552524_at	2.4957
1552526_at	2.9142
1552528_at	3.1238
1552531_a_at	2.781
1552532_a_at	11.2855
